,Score
5274O,3.9833333333333334
6446,3.9166666666666665
2615,3.9
3443,3.7499999999999996
6415,3.7333333333333334
2345,3.5833333333333335
2605,3.4666666666666663
2609,3.45
2454,3.45
4938,3.3833333333333333
2883,3.2666666666666666
6239,3.2333333333333334
6669,3.1500000000000004
2881,2.9833333333333334
2882,2.9166666666666665
2377,2.9000000000000004
2330,2.8666666666666667
2317,2.85
3711,2.7166666666666663
2308,2.683333333333333
3017,2.5500000000000003
9945,2.533333333333333
3035,2.5000000000000004
2327,2.4166666666666665
2303,2.4166666666666665
1519,2.3000000000000003
3533,2.2333333333333334
2357,2.2
6770,2.05
2891,2.05
2383,1.9666666666666668
3661,1.9166666666666665
2353,1.8166666666666667
2610,1.6666666666666665
2618,1.6333333333333333
2884,1.5999999999999999
3034,1.5666666666666667
2449,1.5
1216,1.4833333333333332
2379,1.4333333333333336
2404,1.4166666666666667
2385,1.3333333333333335
3529O,1.3333333333333333
2382,1.2333333333333334
2412,1.1166666666666667
2105,1.0333333333333334
3706,1.0
2301,0.9000000000000001
3044,0.9
2368,0.7833333333333333
2603,0.7666666666666666
3037,0.7333333333333333
3481,0.6833333333333332
2324,0.65
2376,0.5166666666666667
3231,0.44999999999999996
2886,0.4166666666666667
5871,0.3333333333333333
2356,0.26666666666666666
1303,0.11666666666666667
